Province/State,Country/Region,Lat,Long,Date,Confirmed,Last Update
Anhui,China,31.8257,117.2264,01-22-2020 ,1,
Beijing,China,40.1824,116.4142,01-22-2020 ,14,
Chongqing,China,30.0572,107.874,01-22-2020 ,6,
Fujian,China,26.0789,117.9874,01-22-2020 ,1,
Gansu,China,36.0611,103.8343,01-22-2020 ,,
Guangdong,China,23.3417,113.4244,01-22-2020 ,26,
Guangxi,China,23.8298,108.7881,01-22-2020 ,2,
Guizhou,China,26.8154,106.8748,01-22-2020 ,1,
Hainan,China,19.1959,109.7453,01-22-2020 ,4,
Hebei,China,38.0428,114.5149,01-22-2020 ,1,
Heilongjiang,China,47.862,127.7615,01-22-2020 ,,
Henan,China,33.88202,113.614,01-22-2020 ,5,
Hong Kong,Hong Kong,22.3,114.2,01-22-2020 ,,
Hubei,China,30.9756,112.2707,01-22-2020 ,444,
Hunan,China,27.6104,111.7088,01-22-2020 ,4,
Inner Mongolia,China,44.0935,113.9448,01-22-2020 ,,
Jiangsu,China,32.9711,119.455,01-22-2020 ,1,
Jiangxi,China,27.614,115.7221,01-22-2020 ,2,
Jilin,China,43.6661,126.1923,01-22-2020 ,,
Liaoning,China,41.2956,122.6085,01-22-2020 ,2,
Macau,Macau,22.1667,113.55,01-22-2020 ,1,
Ningxia,China,37.2692,106.1655,01-22-2020 ,1,
Qinghai,China,35.7452,95.9956,01-22-2020 ,,
Shaanxi,China,35.1917,108.8701,01-22-2020 ,,
Shandong,China,36.3427,118.1498,01-22-2020 ,2,
Shanghai,China,31.202,121.4491,01-22-2020 ,9,
Shanxi,China,37.5777,112.2922,01-22-2020 ,1,
Sichuan,China,30.6171,102.7103,01-22-2020 ,5,
Taiwan,Taiwan,23.7,121,01-22-2020 ,1,
Tianjin,China,39.3054,117.323,01-22-2020 ,4,
Tibet,China,31.6927,88.0924,01-22-2020 ,,
Washington,US,47.7511,-120.74,01-22-2020 ,1,
Xinjiang,China,41.1129,85.2401,01-22-2020 ,,
Yunnan,China,24.974,101.487,01-22-2020 ,1,
Zhejiang,China,29.1832,120.0934,01-22-2020 ,10,
,Japan,36,138,01-22-2020 ,2,
,Thailand,15,101,01-22-2020 ,2,
,South Korea,36,128,01-22-2020 ,1,
Anhui,China,31.8257,117.2264,01-23-2020 ,9,
Beijing,China,40.1824,116.4142,01-23-2020 ,22,
Chongqing,China,30.0572,107.874,01-23-2020 ,9,
Fujian,China,26.0789,117.9874,01-23-2020 ,5,
Gansu,China,36.0611,103.8343,01-23-2020 ,2,
Guangdong,China,23.3417,113.4244,01-23-2020 ,32,
Guangxi,China,23.8298,108.7881,01-23-2020 ,5,
Guizhou,China,26.8154,106.8748,01-23-2020 ,3,
Hainan,China,19.1959,109.7453,01-23-2020 ,5,
Hebei,China,38.0428,114.5149,01-23-2020 ,1,
Heilongjiang,China,47.862,127.7615,01-23-2020 ,2,
Henan,China,33.88202,113.614,01-23-2020 ,5,
Hong Kong,Hong Kong,22.3,114.2,01-23-2020 ,2,
Hubei,China,30.9756,112.2707,01-23-2020 ,444,
Hunan,China,27.6104,111.7088,01-23-2020 ,9,
Inner Mongolia,China,44.0935,113.9448,01-23-2020 ,,
Jiangsu,China,32.9711,119.455,01-23-2020 ,5,
Jiangxi,China,27.614,115.7221,01-23-2020 ,7,
Jilin,China,43.6661,126.1923,01-23-2020 ,1,
Liaoning,China,41.2956,122.6085,01-23-2020 ,3,
Macau,Macau,22.1667,113.55,01-23-2020 ,2,
Ningxia,China,37.2692,106.1655,01-23-2020 ,1,
Qinghai,China,35.7452,95.9956,01-23-2020 ,,
Shaanxi,China,35.1917,108.8701,01-23-2020 ,3,
Shandong,China,36.3427,118.1498,01-23-2020 ,6,
Shanghai,China,31.202,121.4491,01-23-2020 ,16,
Shanxi,China,37.5777,112.2922,01-23-2020 ,1,
Sichuan,China,30.6171,102.7103,01-23-2020 ,8,
Taiwan,Taiwan,23.7,121,01-23-2020 ,1,
Tianjin,China,39.3054,117.323,01-23-2020 ,4,
Tibet,China,31.6927,88.0924,01-23-2020 ,,
Washington,US,47.7511,-120.74,01-23-2020 ,1,
Xinjiang,China,41.1129,85.2401,01-23-2020 ,2,
Yunnan,China,24.974,101.487,01-23-2020 ,2,
Zhejiang,China,29.1832,120.0934,01-23-2020 ,27,
,Japan,36,138,01-23-2020 ,1,
,Thailand,15,101,01-23-2020 ,3,
,South Korea,36,128,01-23-2020 ,1,
,Singapore,1.2833,103.8333,01-23-2020 ,1,
,Philippines,13,122,01-23-2020 ,,
,Malaysia,2.5,112.5,01-23-2020 ,,
,Vietnam,16,108,01-23-2020 ,2,
,Australia,-33.8688,151.2093,01-23-2020 ,,
,Mexico,23.6345,-102.5528,01-23-2020 ,,
,Brazil,-14.235,-51.9253,01-23-2020 ,,
,Colombia,4.5709,-74.2973,01-23-2020 ,,
Hubei,China,30.9756,112.2707,01-24-2020 ,549,
Guangdong,China,23.3417,113.4244,01-24-2020 ,53,
Zhejiang,China,29.1832,120.0934,01-24-2020 ,43,
Beijing,China,40.1824,116.4142,01-24-2020 ,36,
Chongqing,China,30.0572,107.874,01-24-2020 ,27,
Hunan,China,27.6104,111.7088,01-24-2020 ,24,
Guangxi,China,23.8298,108.7881,01-24-2020 ,23,
Shanghai,China,31.202,121.4491,01-24-2020 ,20,
Jiangxi,China,27.614,115.7221,01-24-2020 ,18,
Sichuan,China,30.6171,102.7103,01-24-2020 ,15,
Shandong,China,36.3427,118.1498,01-24-2020 ,15,
Anhui,China,31.8257,117.2264,01-24-2020 ,15,
Fujian,China,26.0789,117.9874,01-24-2020 ,10,
Henan,China,33.88202,113.614,01-24-2020 ,9,
Jiangsu,China,32.9711,119.455,01-24-2020 ,9,
Hainan,China,19.1959,109.7453,01-24-2020 ,8,
Tianjin,China,39.3054,117.323,01-24-2020 ,8,
Yunnan,China,24.974,101.487,01-24-2020 ,5,
Shaanxi,China,35.1917,108.8701,01-24-2020 ,5,
Heilongjiang,China,47.862,127.7615,01-24-2020 ,4,
Liaoning,China,41.2956,122.6085,01-24-2020 ,4,
Guizhou,China,26.8154,106.8748,01-24-2020 ,3,
Jilin,China,43.6661,126.1923,01-24-2020 ,3,
Taiwan,Taiwan,23.7,121,01-24-2020 ,3,
